tweet_id,user_id,engagement,timestamp
1,171,like,2025-12-07T12:07:32.410614Z
1,32,like,2025-12-06T18:00:45.410614Z
1,34,reply,2025-12-03T06:47:21.410614Z
2,154,like,2025-12-01T17:11:07.410614Z
2,108,retweet,2025-12-01T21:43:32.410614Z
2,159,retweet,2025-12-06T04:58:05.410614Z
3,68,retweet,2025-12-04T10:30:52.410614Z
4,176,like,2025-12-06T16:34:00.410614Z
5,156,like,2025-12-01T12:46:15.410614Z
5,22,reply,2025-12-07T12:39:39.410614Z
7,90,like,2025-12-04T15:12:31.410614Z
7,75,retweet,2025-12-08T12:49:14.410614Z
7,74,retweet,2025-12-06T14:52:32.410614Z
7,42,like,2025-12-04T13:00:07.410614Z
8,64,retweet,2025-12-05T02:22:38.410614Z
8,33,like,2025-12-07T13:44:53.410614Z
8,157,like,2025-12-06T11:44:01.410614Z
9,135,like,2025-12-06T14:02:58.410614Z
9,8,like,2025-12-01T20:41:52.410614Z
9,87,retweet,2025-12-05T19:42:22.410614Z
10,67,like,2025-12-06T18:50:18.410614Z
10,193,retweet,2025-12-02T00:45:37.410614Z
10,29,retweet,2025-12-05T21:54:16.410614Z
11,73,retweet,2025-12-09T08:11:16.410614Z
11,114,reply,2025-12-03T20:00:42.410614Z
11,97,reply,2025-12-04T23:32:13.410614Z
11,173,retweet,2025-12-05T08:09:16.410614Z
12,172,reply,2025-12-04T05:10:55.410614Z
12,150,retweet,2025-12-09T11:25:27.410614Z
12,197,like,2025-12-08T20:45:34.410614Z
12,49,like,2025-12-07T19:29:47.410614Z
13,14,like,2025-12-08T07:21:52.410614Z
13,152,like,2025-12-06T22:02:40.410614Z
13,168,reply,2025-12-07T07:41:49.410614Z
16,85,like,2025-12-02T09:12:21.410614Z
16,15,retweet,2025-12-05T13:30:44.410614Z
16,66,retweet,2025-12-06T12:13:53.410614Z
16,67,retweet,2025-12-08T06:29:40.410614Z
17,66,like,2025-12-09T09:04:40.410614Z
18,167,like,2025-12-08T21:30:56.410614Z
18,163,retweet,2025-12-06T23:43:26.410614Z
21,91,retweet,2025-12-04T21:08:48.410614Z
22,87,retweet,2025-12-04T12:08:50.410614Z
22,20,like,2025-12-06T15:32:41.410614Z
23,161,retweet,2025-12-02T08:38:34.410614Z
23,176,reply,2025-12-02T04:50:04.410614Z
24,16,reply,2025-12-04T17:32:23.410614Z
24,138,reply,2025-12-02T11:08:06.410614Z
25,167,reply,2025-12-06T14:38:21.410614Z
25,170,like,2025-12-08T10:23:24.410614Z
25,133,reply,2025-12-06T17:55:57.410614Z
25,117,reply,2025-12-08T18:34:34.410614Z
26,161,retweet,2025-12-07T19:07:24.410614Z
26,12,reply,2025-12-06T14:12:48.410614Z
27,16,retweet,2025-12-03T21:05:45.410614Z
27,51,retweet,2025-12-07T14:45:44.410614Z
28,44,like,2025-12-08T01:45:38.410614Z
28,85,like,2025-12-03T05:36:51.410614Z
29,25,reply,2025-12-03T05:59:20.410614Z
30,166,reply,2025-12-02T07:06:45.410614Z
30,151,like,2025-12-06T12:26:14.410614Z
30,72,retweet,2025-12-01T20:43:52.410614Z
30,106,like,2025-12-06T13:30:13.410614Z
31,77,retweet,2025-12-03T11:33:58.410614Z
32,194,reply,2025-12-05T18:49:52.410614Z
33,175,retweet,2025-12-02T05:18:46.410614Z
34,64,retweet,2025-12-09T07:55:51.410614Z
34,85,reply,2025-12-08T16:10:05.410614Z
34,157,like,2025-12-07T10:40:28.410614Z
34,194,retweet,2025-12-08T09:09:10.410614Z
35,173,like,2025-12-04T03:26:22.410614Z
35,83,like,2025-12-05T20:42:38.410614Z
35,58,like,2025-12-03T03:41:55.410614Z
36,156,like,2025-12-02T04:39:49.410614Z
36,116,reply,2025-12-04T01:54:48.410614Z
36,45,like,2025-12-04T07:06:04.410614Z
36,99,like,2025-12-09T01:30:58.410614Z
36,95,like,2025-12-07T18:46:59.410614Z
37,163,reply,2025-12-06T08:35:03.410614Z
37,156,retweet,2025-12-02T03:51:08.410614Z
37,43,reply,2025-12-01T18:53:02.410614Z
38,148,like,2025-12-06T14:50:41.410614Z
39,129,retweet,2025-12-02T18:16:59.410614Z
39,8,reply,2025-12-07T19:15:35.410614Z
40,55,retweet,2025-12-05T12:09:10.410614Z
40,33,like,2025-12-08T18:15:51.410614Z
40,91,reply,2025-12-05T05:50:30.410614Z
41,197,reply,2025-12-03T04:59:56.410614Z
41,35,retweet,2025-12-01T12:40:16.410614Z
42,75,retweet,2025-12-06T08:47:06.410614Z
42,109,reply,2025-12-04T09:44:13.410614Z
42,192,reply,2025-12-04T09:51:19.410614Z
43,143,like,2025-12-06T23:32:18.410614Z
43,180,like,2025-12-07T12:06:07.410614Z
43,17,retweet,2025-12-06T03:31:29.410614Z
43,181,retweet,2025-12-04T01:59:54.410614Z
44,128,reply,2025-12-07T18:36:52.410614Z
45,172,like,2025-12-05T19:03:43.410614Z
45,177,like,2025-12-07T21:30:30.410614Z
