tweet_id,author_id,created_at,text,in_network
1,6,2025-12-03T20:05:57.410614Z,Synthetic tweet 1 by user 6,1
2,13,2025-12-04T06:38:30.410614Z,Synthetic tweet 2 by user 13,1
3,159,2025-12-06T01:38:55.410614Z,Synthetic tweet 3 by user 159,0
4,84,2025-12-08T02:41:50.410614Z,Synthetic tweet 4 by user 84,0
5,2,2025-12-05T10:45:22.410614Z,Synthetic tweet 5 by user 2,1
6,192,2025-12-05T04:15:09.410614Z,Synthetic tweet 6 by user 192,0
7,30,2025-12-05T21:28:10.410614Z,Synthetic tweet 7 by user 30,1
8,152,2025-12-04T12:12:23.410614Z,Synthetic tweet 8 by user 152,0
9,24,2025-12-09T03:01:07.410614Z,Synthetic tweet 9 by user 24,1
10,9,2025-12-01T21:40:59.410614Z,Synthetic tweet 10 by user 9,1
11,38,2025-12-08T02:57:18.410614Z,Synthetic tweet 11 by user 38,1
12,17,2025-12-01T12:30:03.410614Z,Synthetic tweet 12 by user 17,1
13,13,2025-12-07T16:29:54.410614Z,Synthetic tweet 13 by user 13,1
14,175,2025-12-08T22:35:08.410614Z,Synthetic tweet 14 by user 175,0
15,49,2025-12-04T06:55:38.410614Z,Synthetic tweet 15 by user 49,0
16,24,2025-12-02T15:02:19.410614Z,Synthetic tweet 16 by user 24,1
17,170,2025-12-02T22:25:42.410614Z,Synthetic tweet 17 by user 170,0
18,111,2025-12-06T18:35:01.410614Z,Synthetic tweet 18 by user 111,0
19,124,2025-12-08T11:07:30.410614Z,Synthetic tweet 19 by user 124,0
20,114,2025-12-08T11:13:50.410614Z,Synthetic tweet 20 by user 114,0
21,124,2025-12-05T03:52:40.410614Z,Synthetic tweet 21 by user 124,0
22,38,2025-12-09T09:31:52.410614Z,Synthetic tweet 22 by user 38,1
23,125,2025-12-02T17:17:15.410614Z,Synthetic tweet 23 by user 125,0
24,127,2025-12-04T12:50:49.410614Z,Synthetic tweet 24 by user 127,0
25,55,2025-12-02T20:18:39.410614Z,Synthetic tweet 25 by user 55,0
26,106,2025-12-03T08:43:54.410614Z,Synthetic tweet 26 by user 106,0
27,118,2025-12-07T01:37:49.410614Z,Synthetic tweet 27 by user 118,0
28,169,2025-12-08T00:26:57.410614Z,Synthetic tweet 28 by user 169,0
29,109,2025-12-07T17:07:00.410614Z,Synthetic tweet 29 by user 109,0
30,184,2025-12-06T06:04:32.410614Z,Synthetic tweet 30 by user 184,0
31,173,2025-12-03T21:30:24.410614Z,Synthetic tweet 31 by user 173,0
32,119,2025-12-08T00:26:23.410614Z,Synthetic tweet 32 by user 119,0
33,189,2025-12-03T03:02:39.410614Z,Synthetic tweet 33 by user 189,0
34,1,2025-12-09T02:49:53.410614Z,Synthetic tweet 34 by user 1,1
35,9,2025-12-07T19:54:49.410614Z,Synthetic tweet 35 by user 9,1
36,9,2025-12-07T19:13:33.410614Z,Synthetic tweet 36 by user 9,1
37,22,2025-12-09T00:28:18.410614Z,Synthetic tweet 37 by user 22,1
38,175,2025-12-07T07:23:02.410614Z,Synthetic tweet 38 by user 175,0
39,9,2025-12-09T06:44:13.410614Z,Synthetic tweet 39 by user 9,1
40,29,2025-12-09T05:46:04.410614Z,Synthetic tweet 40 by user 29,1
41,9,2025-12-01T23:06:34.410614Z,Synthetic tweet 41 by user 9,1
42,33,2025-12-05T05:39:13.410614Z,Synthetic tweet 42 by user 33,1
43,8,2025-12-04T07:06:40.410614Z,Synthetic tweet 43 by user 8,1
44,122,2025-12-05T07:26:04.410614Z,Synthetic tweet 44 by user 122,0
45,29,2025-12-08T23:32:07.410614Z,Synthetic tweet 45 by user 29,1
46,4,2025-12-03T01:49:48.410614Z,Synthetic tweet 46 by user 4,1
47,13,2025-12-08T02:09:32.410614Z,Synthetic tweet 47 by user 13,1
48,187,2025-12-07T17:40:06.410614Z,Synthetic tweet 48 by user 187,0
49,136,2025-12-01T17:08:08.410614Z,Synthetic tweet 49 by user 136,0
50,109,2025-12-04T09:42:51.410614Z,Synthetic tweet 50 by user 109,0
51,4,2025-12-01T15:05:35.410614Z,Synthetic tweet 51 by user 4,1
52,132,2025-12-06T22:20:44.410614Z,Synthetic tweet 52 by user 132,0
53,45,2025-12-07T02:26:39.410614Z,Synthetic tweet 53 by user 45,0
54,14,2025-12-07T14:50:14.410614Z,Synthetic tweet 54 by user 14,1
55,30,2025-12-08T03:25:00.410614Z,Synthetic tweet 55 by user 30,1
56,79,2025-12-09T10:07:45.410614Z,Synthetic tweet 56 by user 79,0
57,9,2025-12-09T02:49:44.410614Z,Synthetic tweet 57 by user 9,1
58,159,2025-12-08T18:33:22.410614Z,Synthetic tweet 58 by user 159,0
59,146,2025-12-03T21:47:20.410614Z,Synthetic tweet 59 by user 146,0
60,36,2025-12-07T05:13:01.410614Z,Synthetic tweet 60 by user 36,1
61,8,2025-12-08T15:36:12.410614Z,Synthetic tweet 61 by user 8,1
62,97,2025-12-03T03:33:30.410614Z,Synthetic tweet 62 by user 97,0
63,3,2025-12-04T02:41:37.410614Z,Synthetic tweet 63 by user 3,1
64,128,2025-12-03T00:05:03.410614Z,Synthetic tweet 64 by user 128,0
65,172,2025-12-05T08:53:49.410614Z,Synthetic tweet 65 by user 172,0
66,50,2025-12-04T07:23:07.410614Z,Synthetic tweet 66 by user 50,0
67,125,2025-12-09T05:12:10.410614Z,Synthetic tweet 67 by user 125,0
68,66,2025-12-05T16:57:14.410614Z,Synthetic tweet 68 by user 66,0
69,168,2025-12-08T21:08:07.410614Z,Synthetic tweet 69 by user 168,0
70,39,2025-12-07T18:47:57.410614Z,Synthetic tweet 70 by user 39,1
71,195,2025-12-05T00:25:14.410614Z,Synthetic tweet 71 by user 195,0
72,51,2025-12-04T08:35:15.410614Z,Synthetic tweet 72 by user 51,0
73,12,2025-12-02T11:26:33.410614Z,Synthetic tweet 73 by user 12,1
74,27,2025-12-04T04:25:35.410614Z,Synthetic tweet 74 by user 27,1
75,17,2025-12-04T15:12:18.410614Z,Synthetic tweet 75 by user 17,1
76,68,2025-12-04T13:03:37.410614Z,Synthetic tweet 76 by user 68,0
77,86,2025-12-05T18:50:30.410614Z,Synthetic tweet 77 by user 86,0
78,14,2025-12-03T14:11:23.410614Z,Synthetic tweet 78 by user 14,1
79,160,2025-12-02T04:37:03.410614Z,Synthetic tweet 79 by user 160,0
80,14,2025-12-06T06:15:02.410614Z,Synthetic tweet 80 by user 14,1
81,178,2025-12-08T20:48:13.410614Z,Synthetic tweet 81 by user 178,0
82,149,2025-12-09T03:14:58.410614Z,Synthetic tweet 82 by user 149,0
83,33,2025-12-03T12:34:43.410614Z,Synthetic tweet 83 by user 33,1
84,19,2025-12-08T23:32:06.410614Z,Synthetic tweet 84 by user 19,1
85,160,2025-12-08T11:48:03.410614Z,Synthetic tweet 85 by user 160,0
86,63,2025-12-03T00:32:11.410614Z,Synthetic tweet 86 by user 63,0
87,112,2025-12-08T04:15:42.410614Z,Synthetic tweet 87 by user 112,0
88,32,2025-12-05T20:26:51.410614Z,Synthetic tweet 88 by user 32,1
89,27,2025-12-02T09:33:07.410614Z,Synthetic tweet 89 by user 27,1
90,122,2025-12-07T01:32:40.410614Z,Synthetic tweet 90 by user 122,0
91,144,2025-12-08T10:08:03.410614Z,Synthetic tweet 91 by user 144,0
92,31,2025-12-05T16:48:32.410614Z,Synthetic tweet 92 by user 31,1
93,163,2025-12-02T22:10:14.410614Z,Synthetic tweet 93 by user 163,0
94,194,2025-12-02T08:38:29.410614Z,Synthetic tweet 94 by user 194,0
95,25,2025-12-07T17:19:50.410614Z,Synthetic tweet 95 by user 25,1
96,56,2025-12-06T12:31:56.410614Z,Synthetic tweet 96 by user 56,0
97,10,2025-12-03T09:00:29.410614Z,Synthetic tweet 97 by user 10,1
98,22,2025-12-08T19:53:43.410614Z,Synthetic tweet 98 by user 22,1
99,12,2025-12-07T03:06:43.410614Z,Synthetic tweet 99 by user 12,1
100,33,2025-12-05T02:13:49.410614Z,Synthetic tweet 100 by user 33,1
101,9,2025-12-03T21:25:32.410614Z,Synthetic tweet 101 by user 9,1
102,18,2025-12-04T00:09:09.410614Z,Synthetic tweet 102 by user 18,1
103,59,2025-12-02T01:49:52.410614Z,Synthetic tweet 103 by user 59,0
104,43,2025-12-06T09:00:48.410614Z,Synthetic tweet 104 by user 43,0
105,4,2025-12-06T06:46:37.410614Z,Synthetic tweet 105 by user 4,1
106,8,2025-12-08T06:04:28.410614Z,Synthetic tweet 106 by user 8,1
107,186,2025-12-08T05:44:53.410614Z,Synthetic tweet 107 by user 186,0
108,26,2025-12-01T18:45:51.410614Z,Synthetic tweet 108 by user 26,1
109,117,2025-12-03T20:55:55.410614Z,Synthetic tweet 109 by user 117,0
110,196,2025-12-07T16:13:13.410614Z,Synthetic tweet 110 by user 196,0
111,160,2025-12-04T04:10:22.410614Z,Synthetic tweet 111 by user 160,0
112,35,2025-12-02T00:30:27.410614Z,Synthetic tweet 112 by user 35,1
113,4,2025-12-02T02:05:02.410614Z,Synthetic tweet 113 by user 4,1
114,92,2025-12-08T08:26:26.410614Z,Synthetic tweet 114 by user 92,0
115,37,2025-12-07T00:39:23.410614Z,Synthetic tweet 115 by user 37,1
116,151,2025-12-09T03:54:14.410614Z,Synthetic tweet 116 by user 151,0
117,55,2025-12-04T06:19:56.410614Z,Synthetic tweet 117 by user 55,0
118,140,2025-12-08T02:41:43.410614Z,Synthetic tweet 118 by user 140,0
119,1,2025-12-03T21:18:21.410614Z,Synthetic tweet 119 by user 1,1
120,68,2025-12-09T00:51:08.410614Z,Synthetic tweet 120 by user 68,0
121,11,2025-12-05T05:24:08.410614Z,Synthetic tweet 121 by user 11,1
122,26,2025-12-08T21:00:33.410614Z,Synthetic tweet 122 by user 26,1
123,30,2025-12-01T15:29:28.410614Z,Synthetic tweet 123 by user 30,1
124,2,2025-12-06T08:17:02.410614Z,Synthetic tweet 124 by user 2,1
125,98,2025-12-02T08:01:20.410614Z,Synthetic tweet 125 by user 98,0
126,84,2025-12-07T07:18:38.410614Z,Synthetic tweet 126 by user 84,0
127,68,2025-12-09T09:29:14.410614Z,Synthetic tweet 127 by user 68,0
128,113,2025-12-06T06:58:24.410614Z,Synthetic tweet 128 by user 113,0
129,97,2025-12-05T21:08:52.410614Z,Synthetic tweet 129 by user 97,0
130,63,2025-12-03T12:47:03.410614Z,Synthetic tweet 130 by user 63,0
131,172,2025-12-07T14:31:51.410614Z,Synthetic tweet 131 by user 172,0
132,1,2025-12-05T09:00:09.410614Z,Synthetic tweet 132 by user 1,1
133,35,2025-12-09T09:23:07.410614Z,Synthetic tweet 133 by user 35,1
134,40,2025-12-05T12:12:47.410614Z,Synthetic tweet 134 by user 40,1
135,131,2025-12-02T07:02:37.410614Z,Synthetic tweet 135 by user 131,0
136,30,2025-12-07T23:39:41.410614Z,Synthetic tweet 136 by user 30,1
137,34,2025-12-08T10:10:41.410614Z,Synthetic tweet 137 by user 34,1
138,37,2025-12-02T09:53:20.410614Z,Synthetic tweet 138 by user 37,1
139,3,2025-12-06T14:50:17.410614Z,Synthetic tweet 139 by user 3,1
140,166,2025-12-02T21:21:04.410614Z,Synthetic tweet 140 by user 166,0
141,111,2025-12-02T10:39:33.410614Z,Synthetic tweet 141 by user 111,0
142,49,2025-12-02T20:11:54.410614Z,Synthetic tweet 142 by user 49,0
143,194,2025-12-06T22:50:45.410614Z,Synthetic tweet 143 by user 194,0
144,35,2025-12-06T04:55:07.410614Z,Synthetic tweet 144 by user 35,1
145,108,2025-12-05T01:32:36.410614Z,Synthetic tweet 145 by user 108,0
146,150,2025-12-02T06:19:16.410614Z,Synthetic tweet 146 by user 150,0
147,137,2025-12-08T13:22:25.410614Z,Synthetic tweet 147 by user 137,0
148,106,2025-12-05T12:09:57.410614Z,Synthetic tweet 148 by user 106,0
149,155,2025-12-04T17:34:07.410614Z,Synthetic tweet 149 by user 155,0
150,39,2025-12-02T15:40:58.410614Z,Synthetic tweet 150 by user 39,1
151,3,2025-12-02T09:30:45.410614Z,Synthetic tweet 151 by user 3,1
152,147,2025-12-08T01:32:47.410614Z,Synthetic tweet 152 by user 147,0
153,10,2025-12-03T06:44:10.410614Z,Synthetic tweet 153 by user 10,1
154,95,2025-12-03T04:28:14.410614Z,Synthetic tweet 154 by user 95,0
155,142,2025-12-05T12:46:03.410614Z,Synthetic tweet 155 by user 142,0
156,136,2025-12-08T21:48:23.410614Z,Synthetic tweet 156 by user 136,0
157,176,2025-12-03T18:16:04.410614Z,Synthetic tweet 157 by user 176,0
158,8,2025-12-01T23:12:24.410614Z,Synthetic tweet 158 by user 8,1
159,52,2025-12-03T21:35:32.410614Z,Synthetic tweet 159 by user 52,0
160,134,2025-12-05T05:11:09.410614Z,Synthetic tweet 160 by user 134,0
161,87,2025-12-09T00:07:22.410614Z,Synthetic tweet 161 by user 87,0
162,19,2025-12-06T10:39:57.410614Z,Synthetic tweet 162 by user 19,1
163,9,2025-12-05T09:35:58.410614Z,Synthetic tweet 163 by user 9,1
164,108,2025-12-01T16:27:24.410614Z,Synthetic tweet 164 by user 108,0
165,3,2025-12-03T14:28:13.410614Z,Synthetic tweet 165 by user 3,1
166,102,2025-12-06T05:55:15.410614Z,Synthetic tweet 166 by user 102,0
167,129,2025-12-08T02:42:30.410614Z,Synthetic tweet 167 by user 129,0
168,3,2025-12-06T02:01:43.410614Z,Synthetic tweet 168 by user 3,1
169,5,2025-12-09T03:44:39.410614Z,Synthetic tweet 169 by user 5,1
170,1,2025-12-02T22:48:53.410614Z,Synthetic tweet 170 by user 1,1
171,143,2025-12-07T05:19:16.410614Z,Synthetic tweet 171 by user 143,0
172,27,2025-12-05T14:09:35.410614Z,Synthetic tweet 172 by user 27,1
173,70,2025-12-03T22:40:11.410614Z,Synthetic tweet 173 by user 70,0
174,183,2025-12-08T22:55:42.410614Z,Synthetic tweet 174 by user 183,0
175,101,2025-12-06T15:13:50.410614Z,Synthetic tweet 175 by user 101,0
176,11,2025-12-05T17:48:40.410614Z,Synthetic tweet 176 by user 11,1
177,60,2025-12-05T05:20:27.410614Z,Synthetic tweet 177 by user 60,0
178,17,2025-12-02T10:21:02.410614Z,Synthetic tweet 178 by user 17,1
179,27,2025-12-08T09:41:15.410614Z,Synthetic tweet 179 by user 27,1
180,17,2025-12-05T13:49:36.410614Z,Synthetic tweet 180 by user 17,1
181,2,2025-12-06T11:00:25.410614Z,Synthetic tweet 181 by user 2,1
182,93,2025-12-02T11:42:28.410614Z,Synthetic tweet 182 by user 93,0
183,28,2025-12-03T13:22:22.410614Z,Synthetic tweet 183 by user 28,1
184,172,2025-12-06T06:58:54.410614Z,Synthetic tweet 184 by user 172,0
185,175,2025-12-04T05:16:17.410614Z,Synthetic tweet 185 by user 175,0
186,8,2025-12-04T09:33:51.410614Z,Synthetic tweet 186 by user 8,1
